package,version,date,license,which_tree,dep_name,dep_version,dep_license,is_direct,in_degree,out_degree,layer
yt-dlp,2021.12.27,2021-12-27 02:31:02.775000+00:00,Unlicense,tree_created,mutagen,1.45.1,GPL-2.0-or-later,True,1,0,1
yt-dlp,2022.5.18,2022-05-18 03:37:52.059000+00:00,Unlicense,tree_created,mutagen,1.45.1,GPL-2.0-or-later,True,1,0,1
zha-quirks,0.0.30,2019-12-26 21:18:44.701000+00:00,Apache-2.0,tree_created,zigpy-homeassistant,0.12.0,GPL-3.0-only,True,1,4,1
zha-quirks,0.0.30,2019-12-26 21:18:44.701000+00:00,Apache-2.0,tree_created,crccheck,0.6,GPL-3.0-or-later,False,1,0,2
zha-quirks,0.0.49,2020-12-13 13:18:12.218000+00:00,Apache-2.0,tree_created,zigpy,0.28.2,GPL-3.0-only,True,1,4,1
zha-quirks,0.0.49,2020-12-13 13:18:12.218000+00:00,Apache-2.0,tree_created,crccheck,1.0,GPL-3.0-or-later,False,1,0,2
zha-quirks,0.0.65,2021-12-10 19:03:41.007000+00:00,Apache-2.0,tree_created,zigpy,0.42.0,GPL-3.0-only,True,1,5,1
zha-quirks,0.0.65,2021-12-10 19:03:41.007000+00:00,Apache-2.0,tree_created,crccheck,1.1,GPL-3.0-or-later,False,1,0,2
zha-quirks,0.0.85,2022-11-04 22:23:39.649000+00:00,Apache-2.0,tree_created,zigpy,0.51.5,GPL-3.0-only,True,1,7,1
zha-quirks,0.0.85,2022-11-04 22:23:39.649000+00:00,Apache-2.0,tree_created,crccheck,1.2.0,GPL-3.0-or-later,False,1,0,2
